"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2019","7,976.2","8,097.5","8,097.5","7,976.2","233.32K","-1.50%"
"07/01/2019","8,097.5","8,188.5","8,188.5","7,885.3","699.45K","-1.11%"
"06/28/2019","8,188.5","7,945.9","8,188.5","7,885.3","1.76M","2.66%"
"06/27/2019","7,976.2","8,188.5","8,188.5","7,976.2","648.02K","-2.59%"
"06/26/2019","8,188.5","8,158.2","8,279.5","8,158.2","757.19K","-1.10%"
"06/25/2019","8,279.5","8,249.2","8,279.5","8,158.2","831.31K","0.00%"
"06/24/2019","8,279.5","8,279.5","8,340.2","8,249.2","753.42K","0.00%"
"06/21/2019","8,279.5","8,279.5","8,340.2","8,218.9","805.30K","0.00%"
"06/20/2019","8,279.5","8,249.2","8,309.8","8,188.5","772.98K","0.37%"
"06/19/2019","8,249.2","8,309.8","8,370.5","8,249.2","375.97K","-0.73%"
"06/18/2019","8,309.8","8,279.5","8,370.5","8,249.2","747.35K","-0.73%"
"06/17/2019","8,370.5","8,340.2","8,431.2","8,279.5","370.68K","-1.08%"
"06/14/2019","8,461.5","8,218.9","8,461.5","8,218.9","800.48K","2.20%"
"06/13/2019","8,279.5","8,309.8","8,309.8","8,218.9","502.03K","-0.36%"
"06/12/2019","8,309.8","8,309.8","8,370.5","8,249.2","693.22K","-0.73%"
"06/11/2019","8,370.5","8,188.5","8,370.5","8,188.5","1.28M","0.36%"
"06/10/2019","8,340.2","8,431.2","8,522.1","8,340.2","844.57K","-1.43%"
"06/07/2019","8,461.5","8,431.2","8,461.5","8,340.2","534.62K","0.72%"
"06/06/2019","8,400.8","8,279.5","8,552.5","8,218.9","1.32M","-0.36%"
"06/05/2019","8,431.2","8,491.8","8,582.8","8,370.5","1.14M","0.00%"
"06/04/2019","8,431.2","8,431.2","8,643.5","8,400.8","1.43M","0.00%"
"06/03/2019","8,431.2","8,582.8","8,582.8","8,400.8","1.46M","-2.46%"
"05/31/2019","8,643.5","8,704.1","8,704.1","8,522.1","773.68K","0.00%"
"05/30/2019","8,643.5","8,431.2","8,643.5","8,400.8","3.35M","2.52%"
"05/29/2019","8,431.2","8,522.1","8,522.1","8,400.8","1.12M","-0.71%"
"05/28/2019","8,491.8","8,491.8","8,491.8","8,400.8","1.05M","0.00%"
"05/27/2019","8,491.8","8,552.5","8,582.8","8,400.8","1.34M","-0.36%"
"05/24/2019","8,522.1","8,552.5","8,673.8","8,491.8","1.10M","-0.36%"
"05/23/2019","8,552.5","8,643.5","8,704.1","8,552.5","917.82K","-1.74%"
"05/22/2019","8,704.1","8,734.4","8,795.1","8,643.5","1.47M","-0.35%"
"05/21/2019","8,734.4","8,673.8","8,825.4","8,673.8","1.38M","0.70%"
"05/20/2019","8,673.8","8,673.8","8,795.1","8,673.8","897.66K","-0.69%"
"05/17/2019","8,734.4","8,704.1","8,795.1","8,704.1","337.92K","0.35%"
"05/16/2019","8,704.1","8,855.7","8,855.7","8,704.1","581.00K","-1.71%"
"05/15/2019","8,855.7","8,795.1","8,855.7","8,613.1","757.22K","2.10%"
"05/14/2019","8,673.8","8,552.5","8,795.1","8,491.8","658.91K","0.35%"
"05/13/2019","8,643.5","8,734.4","8,855.7","8,491.8","1.22M","-1.04%"
"05/10/2019","8,734.4","8,946.7","8,946.7","8,734.4","1.05M","-2.37%"
"05/09/2019","8,946.7","9,068.0","9,068.0","8,855.7","2.24M","-1.34%"
"05/08/2019","9,068.0","9,037.7","9,068.0","8,977.1","420.50K","-0.33%"
"05/07/2019","9,098.4","9,098.4","9,098.4","9,007.4","714.44K","0.00%"
"05/06/2019","9,098.4","9,098.4","9,280.3","8,977.1","1.27M","-0.99%"
"05/03/2019","9,189.4","9,189.4","9,219.7","8,977.1","1.18M","-0.33%"
"05/02/2019","9,219.7","9,280.3","9,280.3","9,189.4","907.05K","0.00%"
"04/26/2019","9,219.7","9,098.4","9,280.3","9,098.4","1.72M","1.33%"
"04/25/2019","9,098.4","9,159.0","9,189.4","9,068.0","415.85K","-0.66%"
"04/24/2019","9,159.0","8,977.1","9,250.0","8,977.1","759.05K","1.68%"
"04/23/2019","9,007.4","8,977.1","9,037.7","8,886.1","670.88K","0.34%"
"04/22/2019","8,977.1","8,977.1","9,007.4","8,916.4","302.58K","-1.00%"
"04/19/2019","9,068.0","8,977.1","9,068.0","8,855.7","685.08K","1.36%"
"04/18/2019","8,946.7","8,916.4","9,007.4","8,734.4","1.18M","-1.01%"
