Date,Price,Open,High,Low,Vol.,Change %
10/16/2019,"14,260.90","14,521.70","14,521.70","14,260.90",918.91K,-0.91%
10/15/2019,"14,391.30","14,260.90","14,521.70","14,217.40",2.67M,0.91%
10/14/2019,"14,260.90","14,130.40","14,304.30","14,043.50",2.05M,1.55%
10/11/2019,"14,043.50","14,130.40","14,217.40","13,956.50",1.36M,-0.61%
10/10/2019,"14,130.40","14,347.80","14,347.80","14,130.40",623.52K,-1.52%
10/9/2019,"14,347.80","14,260.90","14,434.80","14,217.40",926.66K,0.61%
10/8/2019,"14,260.90","14,000.00","14,304.30","13,695.60",2.88M,1.23%
10/7/2019,"14,087.00","14,521.70","14,608.70","14,000.00",4.27M,-2.99%
10/4/2019,"14,521.70","14,782.60","14,782.60","14,478.30",2.07M,-0.60%
10/3/2019,"14,608.70","14,782.60","14,913.00","14,521.70",3.98M,-3.17%
10/2/2019,"15,087.00","15,130.40","15,260.90","14,913.00",3.24M,-0.57%
10/1/2019,"15,173.90","15,304.30","15,347.80","14,956.50",2.29M,0.00%
9/30/2019,"15,173.90","15,043.50","15,434.80","15,000.00",4.24M,1.75%
9/27/2019,"14,913.00","14,695.60","14,913.00","14,608.70",2.32M,1.48%
9/26/2019,"14,695.60","14,695.60","14,739.10","14,434.80",1.72M,0.59%
9/25/2019,"14,608.70","14,608.70","14,695.60","14,304.30",3.00M,-0.59%
9/24/2019,"14,695.60","14,608.70","14,913.00","14,478.30",1.33M,0.59%
9/23/2019,"14,608.70","14,565.20","14,739.10","14,478.30",1.80M,-0.59%
9/20/2019,"14,695.60","15,130.40","15,130.40","14,695.60",3.61M,-2.87%
9/19/2019,"15,130.40","14,956.50","15,260.90","14,956.50",2.73M,1.16%
9/18/2019,"14,956.50","15,043.50","15,217.40","14,826.10",4.01M,0.00%
9/17/2019,"14,956.50","14,347.80","15,043.50","14,173.90",4.62M,3.30%
9/16/2019,"14,478.30","14,521.70","14,565.20","14,260.90",2.15M,0.60%
9/13/2019,"14,391.30","14,217.40","14,608.70","14,217.40",2.64M,1.53%
9/12/2019,"14,173.90","13,565.20","14,173.90","13,521.70",4.39M,5.50%
9/11/2019,"13,434.80","13,173.90","13,434.80","13,043.50",1.34M,1.98%
9/10/2019,"13,173.90","13,130.40","13,304.30","12,956.50",1.78M,0.00%
9/9/2019,"13,173.90","13,130.40","13,478.30","13,130.40",1.41M,-0.66%
9/6/2019,"13,260.90","12,869.60","13,391.30","12,782.60",2.20M,3.74%
9/5/2019,"12,782.60","12,913.00","13,000.00","12,608.70",1.53M,-1.01%
9/4/2019,"12,913.00","12,869.60","13,000.00","12,608.70",1.97M,-1.00%
9/3/2019,"13,043.50","13,434.80","13,434.80","13,043.50",1.59M,-3.23%
8/30/2019,"13,478.30","13,565.20","13,565.20","13,217.40",1.26M,0.65%
8/29/2019,"13,391.30","13,130.40","13,434.80","13,087.00",2.41M,1.99%
8/28/2019,"13,130.40","12,913.00","13,304.30","12,782.60",2.36M,1.68%
8/27/2019,"12,913.00","12,478.30","13,000.00","12,434.80",3.60M,3.85%
8/26/2019,"12,434.80","11,869.60","12,608.70","11,869.60",3.20M,4.00%
8/23/2019,"11,956.50","11,869.60","12,087.00","11,826.10",942.85K,0.73%
8/22/2019,"11,869.60","12,130.40","12,173.90","11,826.10",1.18M,-2.50%
8/21/2019,"12,173.90","12,217.40","12,304.30","12,087.00",1.00M,-1.41%
8/20/2019,"12,347.80","12,304.30","12,434.80","12,043.50",1.20M,0.00%
8/19/2019,"12,347.80","12,217.40","12,521.70","12,173.90",1.27M,0.71%
8/16/2019,"12,260.90","11,913.00","12,434.80","11,739.10",2.30M,2.17%
8/15/2019,"12,000.00","11,304.30","12,000.00","11,304.30",1.24M,0.00%
8/14/2019,"12,000.00","12,087.00","12,173.90","11,869.60",1.06M,2.22%
8/13/2019,"11,739.10","11,565.20","11,739.10","11,304.30",2.61M,6.98%
8/12/2019,"10,973.10","11,280.70","11,656.80","10,870.50",4.86M,-0.62%
8/9/2019,"11,041.50","10,460.30","11,041.50","10,186.80",4.15M,6.95%
8/8/2019,"10,323.60","10,392.00","10,528.70","9,810.80",3.25M,-0.66%
8/7/2019,"10,392.00","10,973.10","11,280.70","10,392.00",3.44M,-5.30%
8/6/2019,"10,973.10","11,280.70","11,314.90","10,802.20",4.17M,-5.31%
8/5/2019,"11,588.40","12,032.80","12,101.20","11,588.40",2.07M,-3.69%
8/2/2019,"12,032.80","12,067.00","12,203.70","11,964.40",940.79K,-0.28%
8/1/2019,"12,067.00","11,896.10","12,306.30","11,896.10",967.61K,1.73%
7/31/2019,"11,861.90","12,306.30","12,443.00","11,861.90",2.12M,-3.61%
7/30/2019,"12,306.30","12,408.80","12,477.20","12,306.30",631.14K,-0.28%
7/29/2019,"12,340.40","12,374.60","12,443.00","12,340.40",448.37K,-0.82%
7/26/2019,"12,443.00","12,545.50","12,613.90","12,306.30",1.42M,-0.82%
7/25/2019,"12,545.50","12,648.10","12,648.10","12,545.50",968.64K,-0.27%
7/24/2019,"12,579.70","12,989.90","13,058.30","12,579.70",1.57M,-2.90%
7/23/2019,"12,955.80","12,921.60","13,126.70","12,921.60",689.63K,0.26%
7/22/2019,"12,921.60","12,784.80","13,058.30","12,784.80",701.37K,-1.31%
7/19/2019,"13,092.50","13,126.70","13,297.60","13,092.50",1.31M,-0.26%
7/18/2019,"13,126.70","12,989.90","13,126.70","12,955.80",876.77K,0.52%
7/17/2019,"13,058.30","12,579.70","13,092.50","12,579.70",2.05M,3.52%
7/16/2019,"12,613.90","12,750.70","12,921.60","12,613.90",764.07K,-1.34%
7/15/2019,"12,784.80","12,853.20","12,921.60","12,784.80",895.02K,-0.53%
7/12/2019,"12,853.20","12,648.10","12,989.90","12,579.70",1.92M,1.62%
7/11/2019,"12,648.10","12,545.50","12,648.10","12,443.00",748.97K,1.65%
7/10/2019,"12,443.00","12,716.50","12,750.70","12,443.00",1.09M,-1.62%
7/9/2019,"12,648.10","12,443.00","12,682.30","12,408.80",837.79K,1.65%
7/8/2019,"12,443.00","12,511.40","12,511.40","12,408.80",637.67K,-0.55%
7/5/2019,"12,511.40","12,545.50","12,648.10","12,511.40",1.05M,-0.27%
7/4/2019,"12,545.50","12,477.20","12,682.30","12,477.20",953.69K,0.55%
7/3/2019,"12,477.20","12,579.70","12,613.90","12,477.20",957.52K,-1.35%
7/2/2019,"12,648.10","12,819.00","12,853.20","12,648.10",1.04M,-1.33%
7/1/2019,"12,819.00","12,955.80","12,955.80","12,784.80",925.36K,0.54%
6/28/2019,"12,750.70","12,921.60","12,921.60","12,716.50",1.17M,-0.27%
6/27/2019,"12,784.80","12,784.80","12,819.00","12,716.50",1.27M,0.00%
6/26/2019,"12,784.80","12,887.40","12,887.40","12,750.70",957.96K,-0.80%
6/25/2019,"12,887.40","12,853.20","12,989.90","12,853.20",762.65K,-0.26%
6/24/2019,"12,921.60","13,126.70","13,126.70","12,887.40",1.29M,-1.05%
6/21/2019,"13,058.30","12,682.30","13,229.20","12,682.30",2.31M,2.96%
6/20/2019,"12,682.30","12,443.00","12,716.50","12,443.00",1.05M,1.92%
6/19/2019,"12,443.00","12,443.00","12,613.90","12,408.80",953.70K,1.11%
6/18/2019,"12,306.30","12,237.90","12,374.60","12,237.90",676.68K,0.56%
6/17/2019,"12,237.90","12,511.40","12,545.50","12,237.90",518.49K,-2.19%
6/14/2019,"12,511.40","12,648.10","12,682.30","12,511.40",615.86K,-0.54%
6/13/2019,"12,579.70","12,511.40","12,648.10","12,477.20",617.03K,-0.54%
6/12/2019,"12,648.10","12,682.30","12,750.70","12,579.70",675.90K,-0.54%
6/11/2019,"12,716.50","12,750.70","12,921.60","12,682.30",1.27M,0.27%
6/10/2019,"12,682.30","12,511.40","12,819.00","12,511.40",1.13M,1.64%
6/7/2019,"12,477.20","12,374.60","12,477.20","12,272.10",786.02K,1.96%
6/6/2019,"12,237.90","12,306.30","12,511.40","12,203.70",791.93K,-0.56%
6/5/2019,"12,306.30","12,408.80","12,477.20","12,306.30",884.46K,1.12%
6/4/2019,"12,169.50","12,101.20","12,306.30","12,067.00",1.14M,0.56%
6/3/2019,"12,101.20","12,477.20","12,579.70","12,101.20",1.79M,-3.28%
5/31/2019,"12,511.40","12,955.80","13,024.10","12,511.40",1.14M,-3.43%
5/30/2019,"12,955.80","12,921.60","13,058.30","12,853.20",601.22K,0.00%
5/29/2019,"12,955.80","12,853.20","13,058.30","12,784.80",853.78K,0.00%
5/28/2019,"12,955.80","13,058.30","13,126.70","12,750.70",1.28M,-0.78%
5/27/2019,"13,058.30","13,058.30","13,160.90","12,989.90",781.80K,-0.78%
5/24/2019,"13,160.90","13,229.20","13,468.50","13,160.90",2.57M,-1.28%
5/23/2019,"13,331.80","12,989.90","13,331.80","12,921.60",1.55M,2.63%
5/22/2019,"12,989.90","13,126.70","13,160.90","12,989.90",1.01M,0.00%
5/21/2019,"12,989.90","12,921.60","13,195.00","12,853.20",2.09M,0.53%
5/20/2019,"12,921.60","12,887.40","13,126.70","12,887.40",1.12M,0.00%
5/17/2019,"12,921.60","13,092.50","13,195.00","12,921.60",1.08M,-1.31%
5/16/2019,"13,092.50","13,229.20","13,366.00","13,092.50",1.28M,-0.78%
5/15/2019,"13,195.00","12,989.90","13,297.60","12,989.90",2.11M,1.58%
5/14/2019,"12,989.90","12,853.20","13,092.50","12,784.80",2.03M,-1.04%
5/13/2019,"13,126.70","13,058.30","13,400.10","12,853.20",2.79M,-0.26%
5/10/2019,"13,160.90","13,058.30","13,366.00","12,989.90",2.84M,1.32%
5/9/2019,"12,989.90","12,306.30","13,092.50","12,306.30",5.79M,6.14%
5/8/2019,"12,237.90","12,511.40","12,716.50","12,237.90",4.08M,-4.28%
5/7/2019,"12,784.80","13,195.00","13,468.50","12,784.80",1.97M,-2.35%
5/6/2019,"13,092.50","13,400.10","13,742.00","13,092.50",3.61M,-6.81%
5/3/2019,"14,049.60","14,391.50","14,459.90","13,912.90",1.90M,-2.61%
5/2/2019,"14,425.70","14,562.40","14,733.30","14,425.70",541.98K,-0.94%
4/26/2019,"14,562.40","14,494.00","14,630.80","14,494.00",547.84K,0.00%
